,Country1,Occupation,Birth year,lifespan
10283,United States,artist,1917,88
10284,United States,athlete,1899,33
10285,United States,alpine skier,1942,65
10286,Romania,athlete,1951,62
10287,United States,artist,1921,73
10288,Canada,film producer,1929,79
10289,United States,researcher,1932,76
10290,Japan,translator,1928,41
10291,United Kingdom,artist,1907,79
10292,United Kingdom,artist,1928,52
10293,United States,artist,1913,53
10294,United States,politician,1914,70
10295,United States,artist,1945,40
10296,Germany,businessperson,1959,50
10297,United Kingdom,artist,1938,73
10298,United States,artist,1940,72
10299,United States,teacher,1933,51
10300,United Kingdom,religious figure,1923,67
10301,France,artist,1934,79
10302,United States,blacksmith,1775,25
10303,Russian Federation,artist,1922,84
10304,Germany,artist,1922,84
10305,United States,artist,1754,58
10306,Egypt,politician,1951,68
10307,United States,politician,1904,68
10308,United Kingdom,artist,1967,52
10309,Spain,artist,1859,50
10310,Japan,samurai,1842,26
10311,United Kingdom,military personnel,1918,25
10312,United States,artist,1896,62
10313,Finland,athlete,1935,54
10314,United Kingdom,artist,1939,62
10315,Australia,artist,1891,53
10316,Switzerland,businessperson,1887,89
10317,United States,politician,1924,58
10318,United Kingdom,researcher,1912,92
10319,United States,journalist,1967,49
10320,United Kingdom,artist,1887,72
10321,Portugal,researcher,1947,72
10322,United Kingdom,civil servant,1955,57
10323,France,artist,1859,32
10324,Australia,businessperson,1884,42
10325,France,inventor,1879,33
10325,France,tailor,1879,33
10326,United States,researcher,1941,53
10327,United States,athlete,1882,36
10328,United States,athlete,1944,33
10329,France,art collector,1710,64
10330,United States,athlete,1920,50
10331,United States,artist,1951,56
10332,Spain,nun,1891,45
10333,Russian Federation,fencer,1974,41
10334,India,artist,1951,62
10335,Mexico,politician,1954,60
10336,United Kingdom,politician,1926,89
10337,United Kingdom,athlete,1938,71
10338,Germany,politician,1913,32
10339,Spain,police officer,1962,35
10340,Australia,athlete,1985,33
10341,Germany,artist,1631,54
10342,Germany,businessperson,1906,39
10343,United States,politician,1916,61
10344,United States,researcher,1926,84
10345,Austria,artist,1867,49
10346,France,athlete,1960,50
10347,Brazil,artist,1915,90
10348,United States,artist,1902,83
10349,Japan,motorcycle racer,1987,24
10350,Canada,drug trafficker,1948,57
10351,France,artist,1505,67
10352,France,revolutionary,1873,37
10352,France,terrorist,1873,37
10353,Czech Republic,athlete,1914,28
10354,Argentina,journalist,1942,77
10355,Serbia,athlete,1947,45
10356,Belgium,religious figure,1840,49
10357,Hungary,architect,1891,53
10358,Japan,politician,1876,75
10359,France,artist,1964,30
10360,Sweden,artist,1944,69
10361,United States,artist,1928,76
10362,United Kingdom,anthropologist,1901,54
10363,United States,politician,1921,92
10364,United States,politician,1819,66
10365,United States,artist,1942,70
10366,Spain,military personnel,1480,56
10367,Australia,military personnel,1914,62
10368,United States,artist,1929,78
10369,Japan,businessperson,1847,74
10370,United States,gangster,1895,59
10371,United States,athlete,1915,64
10372,United States,politician,1855,63
10373,United States,artist,1892,57
10374,Canada,politician,1914,89
10375,United Kingdom,artist,1927,66
10376,United States,politician,1860,76
10377,Germany,military personnel,1899,46
10378,Japan,military personnel,1890,55
10379,United States,athlete,1905,63
10380,Austria,lawyer,1879,61
10381,United States,politician,1911,78
10382,Philippines,artist,1944,60
10383,United Kingdom,artist,1868,70
10384,Germany,researcher,1879,61
10385,Argentina,athlete,1956,58
10386,United Kingdom,politician,1667,80
10387,United Kingdom,politician,1692,20
10388,Ireland,airman,1895,21
10389,United States,judge,1838,72
10390,United States,businessperson,1927,69
10391,Germany,artist,1935,59
10392,United States,military personnel,1933,61
10393,United States,businessperson,1902,76
10394,United States,judge,1907,82
10395,United States,researcher,1922,78
10396,Poland,researcher,1922,78
10397,United States,artist,1904,87
10398,Germany,artist,1818,53
10399,France,artist,1818,53
10400,United States,politician,1862,76
10401,Italy,mobster,1954,36
10402,Japan,translator,1870,69
10403,United States,serial killer,1940,62
10403,United States,criminal,1940,62
10404,Switzerland,artist,1942,55
10405,United States,artist,1946,34
10406,United States,artist,1925,94
10407,United States,politician,1900,64
10408,Brazil,artist,1861,37
10409,United States,artist,1912,79
10410,United States,athlete,1945,61
10411,United States,artist,1931,76
10412,United States,athlete,1939,31
10413,New Zealand,artist,1937,75
10414,United Kingdom,sociologist,1917,64
10415,Netherlands Antilles,artist,1575,65
10416,Sweden,teacher,1962,57
10417,Spain,engineer,1724,61
10418,United States,researcher,1811,70
10419,France,researcher,1858,58
10420,Ireland,politician,1937,55
10421,Sweden,athlete,1944,43
10422,Mexico,journalist,1966,39
10423,United States,artist,1944,59
10424,Japan,astronomer,1903,40
10425,India,artist,1965,44
10426,United States,artist,1922,86
10427,France,researcher,1803,55
10428,Philippines,politician,1890,66
10429,Germany,researcher,1873,68
10430,Poland,athlete,1981,24
10431,United Kingdom,athlete,1940,66
10432,United States,journalist,1913,53
10433,Norway,athlete,1961,52
10434,France,artist,1931,63
10435,United States,businessperson,1893,45
10436,United States,artist,1930,40
10437,Netherlands,artist,1914,39
10438,United States,politician,1823,60
10439,United States,politician,1874,38
10440,Peru,artist,1940,76
10441,United States,businessperson,1865,85
10442,United States,politician,1942,63
10443,Australia,artist,1938,71
10444,United States,politician,1839,51
10445,Australia,artist,1950,63
10446,Poland,politician,1355,56
10447,Spain,businessperson,1938,70
10448,Poland,religious figure,1960,31
10449,United States,artist,1933,72
10450,United Kingdom,journalist,1917,47
10451,Slovakia,serial killer,1942,45
10451,Slovakia,murderer,1942,45
10452,Lebanon,artist,1948,71
10453,Germany,judge,1896,49
10454,"Iran, Islamic Republic of",athlete,1933,77
10455,United States,artist,1964,25
10456,Chile,journalist,1923,85
10457,New Zealand,athlete,1972,46
10458,Ireland,nun,1778,63
10458,Ireland,christians jehovah’s witnesses,1778,63
10459,United Kingdom,artist,1959,41
10460,Spain,jurist,1951,50
10461,United States,artist,1923,90
10462,United States,lawyer,1929,85
10463,Argentina,artist,1929,86
10464,United States,artist,1966,50
10465,United Kingdom,politician,1875,54
10466,Marshall Islands,politician,1928,68
10467,Chile,artist,1952,63
10468,Australia,artist,1976,32
10469,Malawi,politician,1927,50
10470,United States,artist,1937,56
10471,Egypt,politician,1846,64
10472,United States,artist,1909,68
10473,United Kingdom,artist,1930,62
10474,Germany,researcher,1774,41
10475,United States,military personnel,1916,34
10476,China,business magnate,1954,63
10477,United States,athlete,1941,68
10478,United States,artist,1928,71
10479,Austria,artist,1928,71
10480,Spain,businessperson,1912,85
10481,United States,socialite,1835,49
10482,Finland,artist,1896,33
10483,United States,artist,1902,61
10484,France,artist,1894,64
10485,United States,artist,1976,36
10486,Japan,artist,1933,84
10487,United States,politician,1812,46
10488,France,politician,1901,62
10489,United States,athlete,1935,84
10490,United States,politician,1925,73
10491,France,politician,1919,70
10492,France,politician,1919,70
10493,Comoros,politician,1919,70
10494,Comoros,politician,1919,70
10495,Sweden,politician,1948,69
10496,United Kingdom,politician,1869,71
10497,Germany,military personnel,1881,67
10498,Syrian Arab Republic,religious figure,1930,82
10499,United States,athlete,1939,40
10500,Zimbabwe,artist,1925,92
10501,United States,athlete,1922,67
10502,United States,artist,1937,27
10503,United States,artist,1915,82
10504,United Kingdom,athlete,1881,55
10505,France,artist,1931,62
10506,United States,journalist,1933,79
10507,United States,politician,1806,56
10508,United States,politician,1891,89
10509,United States,lawyer,1909,58
10510,United States,artist,1921,70
10511,Peru,artist,1942,70
10512,United Kingdom,artist,1948,61
10513,United States,athlete,1922,85
10514,Switzerland,political activist,1908,79
10514,Switzerland,newspaper editor,1908,79
10515,United States,businessperson,1877,77
10516,United Kingdom,psychiatrist,1703,73
10517,United States,publisher,1946,53
10518,United States,anthropologist,1923,57
10518,United States,musicologist,1923,57
10518,United States,ethnomusicologist,1923,57
10519,United Kingdom,artist,1797,54
10520,United States,athlete,1932,52
10521,Germany,artist,1907,26
10522,Australia,artist,1925,78
10523,United States,inventor,1876,42
10524,Israel,human rights activist,1929,66
10524,Israel,activist,1929,66
10525,Sweden,artist,1861,43
10526,France,artist,1838,51
10527,United States,journalist,1985,26
10528,Armenia,artist,1976,40
10529,Spain,politician,1913,64
10530,United States,artist,1899,87
10531,United States,athlete,1922,53
10532,Germany,artist,1867,85
10533,Germany,military personnel,1633,75
10534,Romania,artist,1895,69
10535,United States,artist,1928,86
10536,United States,researcher,1774,35
10537,Italy,artist,1917,86
10538,United Kingdom,artist,1888,82
10539,France,artist,1886,48
10540,United States,researcher,1960,48
10541,France,artist,1952,47
10542,Kazakhstan,athlete,1973,34
10543,United States,engineer,1874,58
10544,Bulgaria,researcher,1945,73
10545,Poland,artist,1950,61
10546,United States,artist,1908,73
10547,United States,politician,1863,77
10548,United Kingdom,artist,1941,76
10549,United States,politician,1890,53
10550,United States,researcher,1831,62
10551,United States,politician,1933,72
10552,United States,artist,1940,53
10553,United Kingdom,artist,1936,32
10554,Canada,artist,1965,40
10555,United States,artist,1947,65
10556,United States,athlete,1883,49
10557,China,artist,1912,54
10558,United States,military personnel,1951,55
10559,Poland,politician,1890,53
10560,United States,artist,1915,90
10561,United States,athlete,1947,56
10562,Belgium,artist,1877,29
10563,Turkey,artist,1951,65
10564,Uruguay,politician,1901,66
10565,United States,criminologist,1925,47
10566,Israel,activist,1954,58
10567,France,politician,1801,66
10568,United States,athlete,1943,52
10569,United States,athlete,1947,51
10570,United States,artist,1982,36
10571,United States,artist,1955,64
10572,Finland,politician,1881,57
10573,United States,artist,1971,25
10574,Japan,artist,1844,31
10575,United Kingdom,researcher,1939,55
10576,United States,artist,1878,46
10577,United States,politician,1916,82
10578,Austria,artist,1867,48
10579,Canada,athlete,1919,51
10580,Spain,athlete,1934,73
10581,United States,researcher,1928,54
10582,China,researcher,-50,73
10583,France,military personnel,1635,39
10584,Germany,politician,1902,45
10585,France,researcher,1845,71
10586,Germany,artist,1936,35
10587,United States,artist,1904,73
10588,United States,athlete,1881,68
10589,United States,trade unionist,1895,18
10590,United States,politician,1901,90
10591,Germany,artist,1928,72
10592,United States,artist,1870,41
10593,United States,serial killer,1945,63
10594,United States,athlete,1958,48
10595,Finland,stunt performer,1990,29
10595,Finland,youtuber,1990,29
10596,Australia,event rider,1956,61
10597,United States,athlete,1918,52
10598,United States,athlete,1937,78
10599,United States,artist,1914,96
10600,United States,politician,1916,62
10601,Italy,artist,1934,81
10602,United States,politician,1981,37
10603,United States,game author,1965,38
10604,Ireland,athlete,1981,37
10605,Netherlands,criminal,1905,43
10606,United States,artist,1961,55
10607,United States,immunologist,1924,89
10608,United States,athlete,1871,30
10609,Brazil,researcher,1923,93
10610,Germany,artist,1938,78
10611,Japan,engineer,1955,58
10612,Sweden,artist,1849,63
10613,United States,artist,1902,66
10614,Austria,researcher,1893,35
10615,Russian Federation,artist,1926,66
10616,United States,teacher,1904,43
10617,Belgium,engineer,1952,54
10618,Ireland,artist,1913,64
10619,United States,artist,1933,45
10620,Russian Federation,athlete,1964,47
10621,Italy,philosopher,1894,63
10622,Netherlands,artist,1867,77
10623,United States,businessperson,1866,62
10624,Colombia,politician,1930,64
10625,United Kingdom,athlete,1892,52
10626,Italy,artist,1930,71
10627,United Kingdom,artist,1912,58
10628,United States,entrepreneur,1929,77
10629,Poland,artist,1929,14
10630,United States,artist,1915,94
10631,Japan,politician,1924,90
10632,United States,entrepreneur,1860,78
10633,Belgium,artist,1899,39
10634,United States,artist,1884,80
10635,Greece,artist,1863,70
10636,Egypt,artist,1863,70
10637,Serbia,athlete,1948,38
10638,United Kingdom,artist,1950,61
10639,Switzerland,drummer,1952,52
10640,United States,publisher,1934,72
10641,Australia,artist,1941,64
10642,United States,researcher,1919,91
10643,United States,politician,1936,73
10644,Switzerland,researcher,1743,50
10645,France,researcher,1743,50
10646,United Kingdom,athlete,1872,78
10647,Greece,artist,1897,78
10648,United States,cowboy,1851,73
10649,United States,politician,1927,58
10650,United States,drug trafficker,1960,29
10651,Poland,cellist,1977,41
10652,United States,artist,1957,46
10653,Sweden,artist,1833,71
10654,Ireland,politician,1962,52
10655,China,politician,1550,79
10656,Brazil,politician,1838,60
10657,Spain,politician,1948,70
10658,United Kingdom,artist,1941,69
10659,France,artist,1884,78
10660,United States,artist,1956,41
10661,United States,artist,1855,32
10662,Philippines,artist,1953,55
10663,Italy,art critic,1948,35
10664,United States,politician,1929,78
10665,France,artist,1958,26
10666,United Kingdom,artist,1937,75
10667,United States,artist,1799,58
10668,Argentina,artist,1922,65
10669,New Zealand,artist,1819,84
10670,United States,psychologist,1911,49
10670,United States,psychoanalyst,1911,49
10671,Hungary,psychologist,1911,49
10671,Hungary,psychoanalyst,1911,49
10672,United States,artist,1915,64
10673,Brazil,politician,1928,87
10674,Netherlands,student,1926,19
10675,Netherlands,student,1926,19
10676,Pakistan,trade unionist,1913,60
10677,India,trade unionist,1913,60
10678,Italy,artist,1961,49
10679,Burundi,politician,1932,29
10680,United States,artist,1889,74
10681,Australia,artist,1929,84
10682,Canada,artist,1955,26
10683,Italy,fashion designer,1942,57
10684,United States,artist,1949,66
10685,Canada,politician,1823,63
10686,Uruguay,criminal,1975,21
10687,Netherlands,professional wrestler,1924,86
10687,Netherlands,bodybuilder,1924,86
10688,United Kingdom,film critic,1936,77
10689,United States,epidemiologist,1923,84
10690,United States,businessperson,1856,73
10691,United States,politician,1784,70
10692,United States,artist,1926,73
10693,United Kingdom,artist,1925,83
10694,El Salvador,athlete,1945,52
10695,United States,engineer,1912,96
10696,Canada,engineer,1912,96
10697,Canada,artist,1947,69
10698,"Congo, The Democratic Republic of the",religious figure,1927,50
10699,United States,athlete,1931,80
10700,Sweden,artist,1853,41
10701,Brazil,artist,1921,98
10702,Spain,artist,1947,67
10703,South Africa,paralegal,1983,30
10703,South Africa,model,1983,30
10704,United States,military personnel,1917,86
10705,United States,athlete,1890,69
10706,Dominica,politician,1930,83
10707,United States,artist,1937,66
10708,Malaysia,politician,1932,76
10709,United Kingdom,artist,1933,69
10710,United States,politician,1826,43
10711,"Congo, The Democratic Republic of the",athlete,1940,47
10712,United States,artist,1945,47
10713,United States,artist,1943,62
10714,"Iran, Islamic Republic of",politician,1901,50
10715,United States,artist,1895,65
10716,Finland,artist,1935,65
10717,United States,athlete,1922,31
10718,United States,private investigator,1928,83
10719,United States,artist,1934,80
10720,Belgium,athlete,1947,60
10721,Japan,jockey,1952,57
10722,United States,military personnel,1922,88
10723,Italy,politician,1901,45
10724,Netherlands,artist,1885,57
10725,Poland,politician,1963,47
10726,Canada,military personnel,1923,85
10727,United States,secretary,1925,81
10727,United States,flight attendant,1925,81
10727,United States,interior designer,1925,81
10728,Germany,politician,1906,38
10729,Canada,athlete,1941,67
10730,France,artist,1949,51
10731,Norway,businessperson,1610,60
10732,Canada,researcher,1913,82
10733,United States,athlete,1959,46
10734,Italy,researcher,1940,79
10735,India,engineer,1973,30
10736,United States,artist,1945,61
10737,Japan,researcher,1911,85
10738,France,religious figure,1924,84
10739,Canada,athlete,1924,74
10740,Germany,politician,1905,39
10741,Italy,philosopher,1934,73
10742,United States,artist,1917,71
10743,United States,artist,1921,57
10744,United Kingdom,artist,1961,49
10745,Australia,businessperson,1906,80
10746,Switzerland,military personnel,1954,44
10747,United Kingdom,artist,1909,84
10748,Mexico,religious figure,1891,36
10749,United States,artist,1935,49
10750,Panama,military personnel,1950,39
10751,Saudi Arabia,politician,1942,65
10752,Germany,artist,1930,73
10753,United States,artist,1919,47
10754,Malaysia,athlete,1951,63
10755,Ecuador,artist,1892,20
10756,United States,artist,1925,77
10757,United States,artist,1927,58
10758,Germany,artist,1907,67
10759,United States,artist,1948,47
10760,United States,artist,1942,70
10761,United States,artist,1934,82
10762,France,researcher,1833,59
10763,Israel,weightlifter,1921,51
10764,New Zealand,politician,1822,60
10765,Sweden,artist,1907,76
10766,Canada,businessperson,1938,75
10767,United States,athlete,1924,81
10768,Canada,jockey,1939,22
10769,United States,businessperson,1829,63
10770,United States,artist,1917,77
10771,United States,researcher,1939,59
10772,France,politician,1777,55
10773,United States,athlete,1913,67
10774,United States,researcher,1866,79
10775,Russian Federation,athlete,1979,32
10776,United States,journalist,1913,35
10777,"Iran, Islamic Republic of",athlete,1968,48
10778,United States,athlete,1930,79
10779,Mexico,professional wrestler,1969,44
10780,Sweden,politician,1912,35
10781,Sweden,politician,1912,35
10782,United States,athlete,1926,59
10783,Italy,athlete,1926,59
10784,Canada,athlete,1931,86
10785,United States,artist,1943,44
10786,United States,artist,1926,56
10787,United States,politician,1877,75
10788,United States,politician,1877,75
10789,United States,politician,1962,45
10790,Turkey,politician,1928,80
10791,United States,artist,1914,87
10792,Finland,artist,1944,63
10793,Canada,artist,1952,40
10794,United States,artist,1945,66
10795,United Kingdom,artist,1944,67
10796,United States,athlete,1872,34
10797,Italy,politician,1881,82
10798,Holy See (Vatican City State),politician,1881,82
10799,United States,athlete,1931,64
10800,Belgium,racing automobile driver,1947,58
10800,Belgium,motocross rider,1947,58
10801,United States,military personnel,1939,47
10802,United States,artist,1929,82
10803,United States,racing automobile driver,1886,30
10804,United States,politician,1829,56
10805,United Kingdom,military personnel,1907,64
10806,Mexico,military personnel,1887,29
10807,South Africa,politician,1957,41
10808,Germany,politician,1908,34
10809,Brazil,politician,1908,34
10810,United States,artist,1895,70
10811,United States,researcher,1951,57
10812,France,artist,1943,47
10813,United Kingdom,bassist,1961,46
10813,United Kingdom,guitarist,1961,46
10814,Spain,artist,1940,57
10815,United Kingdom,artist,1931,79
10816,Japan,pastor,1953,53
10817,Germany,military personnel,1903,42
10818,Hungary,artist,1931,45
10819,New Zealand,religious figure,1878,64
10820,United Kingdom,researcher,1707,44
10821,Germany,artist,1831,46
10822,United States,ecologist,1925,71
10823,United States,artist,1929,72
10824,United States,artist,1888,87
10825,France,artist,1936,64
10826,Austria,politician,1903,43
10827,France,artist,1878,88
10828,Ecuador,journalist,1959,54
10829,Poland,military personnel,1912,77
10830,United States,artist,1942,56
10831,Turkey,artist,1949,70
10832,United States,politician,1892,62
10833,Brazil,sociologist,1935,62
10834,United States,television presenter,1917,82
10835,United States,artist,1886,32
10836,United States,artist,1943,74
10837,United States,artist,1955,56
10838,Argentina,artist,1950,62
10839,United States,artist,1930,65
10840,United States,artist,1918,62
10841,Burkina Faso,artist,1949,49
10842,Spain,politician,1843,80
10843,Philippines,artist,1954,53
10844,United States,politician,1939,69
10845,Turkey,aristocrat,1921,91
10846,Italy,politician,1920,79
10847,Germany,military personnel,1913,31
10848,United Kingdom,politician,1904,39
10849,Germany,athlete,1945,66
10850,United States,artist,1924,66
10851,South Africa,politician,1959,55
10852,China,politician,1927,91
10853,Japan,rikishi,1947,57
10853,Japan,professional wrestler,1947,57
10854,United Kingdom,lawyer,1901,80
10855,United States,artist,1897,62
10856,France,student,1923,20
10857,Cuba,artist,1938,65
10858,United States,journalist,1930,77
10859,South Africa,athlete,1987,24
10860,Spain,artist,1930,62
10861,Italy,athlete,1927,22
10862,United Kingdom,politician,1485,51
10863,Spain,politician,1485,51
10864,Russian Federation,artist,1974,41
10865,Turkey,artist,1939,44
10866,United Kingdom,artist,1707,47
10867,Turkey,politician,1894,52
10868,Russian Federation,artist,1983,36
10869,United States,artist,1944,58
10870,United States,psychiatrist,1787,63
10871,United Kingdom,artist,1946,58
10872,Canada,artist,1933,86
10873,United States,artist,1921,88
10874,United Kingdom,fashion designer,1945,65
10875,Venezuela,artist,1921,81
10876,France,politician,1894,59
10877,Philippines,model,1986,28
10878,United States,artist,1906,75
10879,Italy,athlete,1942,48
10880,United States,artist,1920,62
10881,Mexico,artist,1942,62
10882,United States,politician,1942,72
10883,France,politician,1771,33
10884,United States,artist,1944,58
10885,United States,religious figure,1811,49
10886,United States,artist,1952,63
10887,United States,saxophonist,1949,66
10888,United States,teacher,1901,98
10889,United States,athlete,1861,38
10890,United Kingdom,athlete,1966,38
10891,United States,biologist,1957,53
10892,Israel,researcher,1951,64
10893,United States,military personnel,1964,33
10894,United States,architect,1824,71
10895,Czech Republic,artist,1890,57
10896,Norway,illusionist,1941,77
10896,Norway,magician,1941,77
10897,United States,secretary,1908,67
10898,United States,artist,1937,64
10899,United States,athlete,1986,30
10900,Poland,artist,1937,58
10901,United States,artist,1937,59
10902,United States,weather presenter,1930,76
10903,United States,artist,1946,63
10904,Australia,athlete,1940,50
10905,United States,artist,1892,58
10906,United States,artist,1945,59
10907,United States,researcher,1923,56
10908,United Kingdom,artist,1946,32
10909,United States,television producer,1932,83
10909,United States,television director,1932,83
10910,United Kingdom,politician,1765,66
10911,France,harpist,1948,40
10912,United Kingdom,artist,1932,79
10913,France,politician,1900,49
10914,Belgium,artist,1942,71
10915,Germany,artist,1869,74
10916,United States,artist,1926,65
10917,United States,athlete,1955,34
10918,United States,athlete,1902,41
10919,Netherlands,athlete,1902,41
10920,France,military personnel,1902,31
10921,France,artist,1896,74
10922,Dominican Republic,politician,1941,63
10923,United States,artist,1969,49
10924,United States,athlete,1936,74
10925,Croatia,politician,1825,46
10926,Italy,artist,1921,39
10927,Spain,lawyer,1916,20
10928,United States,religious figure,1926,78
10929,United Kingdom,artist,1775,27
10930,United States,politician,1924,86
10931,United States,artist,1936,83
10932,United Kingdom,artist,1937,64
10933,Germany,athlete,1960,34
10934,United States,politician,1785,48
10935,United States,artist,1931,80
10936,Brazil,artist,1942,47
10937,Argentina,long-distance runner,1919,62
10937,Argentina,marathon runner,1919,62
10938,Japan,politician,1924,76
10939,Israel,artist,1961,56
10940,United States,athlete,1934,84
10941,Australia,naval officer,1959,51
10942,United States,racing driver,1974,22
10943,Mexico,artist,1908,80
10944,United States,film producer,1903,66
10944,United States,art collector,1903,66
10945,United States,politician,1938,59
10946,United States,military personnel,1825,37
10947,Ireland,artist,1903,63
10948,Canada,politician,1903,51
10949,Croatia,politician,1956,56
10950,France,artist,1739,64
10951,United States,manual worker,1886,20
10952,Australia,fashion designer,1947,67
10953,Honduras,politician,1924,84
10954,United States,journalist,1937,73
10955,United States,artist,1922,74
10956,United States,artist,1909,72
10957,Mexico,journalist,1956,55
10958,United States,artist,1926,69
10959,Paraguay,athlete,1961,58
10960,Canada,publisher,1938,74
10961,United Kingdom,artist,1917,81
10962,United States,artist,1948,29
10963,Spain,politician,1784,39
10964,United States,politician,1926,82
10965,United States,politician,1830,63
10966,China,politician,249,51
10967,Romania,researcher,1867,50
10968,United Kingdom,artist,1936,80
10969,United States,skateboarder,1964,38
10970,New Zealand,engineer,1934,74
10971,United States,artist,1910,55
10972,Russian Federation,athlete,1970,41
10973,United States,artist,1930,88
10974,Ireland,artist,1957,55
10975,United States,politician,1773,60
10976,Croatia,artist,1734,55
10977,United Kingdom,artist,1961,45
10978,United States,researcher,1959,60
10979,United States,artist,1941,71
10980,United States,philosopher,1955,62
10981,United States,researcher,1840,57
10982,United States,activist,1957,42
10983,United Kingdom,artist,1923,84
10984,United States,judge,1917,87
10985,United States,artist,1902,61
10986,United States,politician,1951,59
10987,Germany,artist,1965,48
10988,France,artist,1934,81
10989,United Kingdom,comedian,1935,66
10990,United States,television presenter,1945,63
10991,Canada,artist,1970,27
10992,United States,lawyer,1870,54
10993,Canada,artist,1937,77
10994,United States,artist,1891,27
10995,United States,politician,1869,65
10996,Philippines,artist,1945,67
10997,United States,military personnel,1894,21
10998,United States,politician,1908,98
10999,United Kingdom,journalist,1950,51
11000,United States,athlete,1940,70
11001,United Kingdom,athlete,1920,79
11002,United States,novelist,1936,76
11003,United States,researcher,1933,84
11004,United States,lawyer,1803,64
11005,New Zealand,journalist,1932,82
11006,United States,fencer,1880,24
11007,Australia,artist,1972,34
11008,United States,activist,1987,29
11009,United States,artist,1950,59
11010,Germany,artist,1926,87
11011,France,artist,1914,64
11012,Australia,artist,1934,85
11013,Pakistan,artist,1926,81
11014,South Africa,military personnel,1880,51
11015,United States,artist,1911,58
11016,Norway,artist,1911,58
11017,United States,athlete,1928,76
11018,Canada,politician,1960,58
11019,Argentina,artist,1912,65
11020,United States,artist,1931,42
11021,United States,politician,1946,68
11022,United States,artist,1928,67
11023,United Kingdom,engineer,1931,46
11024,United Kingdom,engineer,1964,44
11025,United States,artist,1948,65
11026,France,politician,1803,51
11027,United States,artist,1904,50
11028,"Iran, Islamic Republic of",politician,1912,67
11029,United States,artist,1921,74
11030,United States,artist,1888,60
11031,United Kingdom,artist,1943,65
11032,Japan,politician,1935,79
11033,United Kingdom,artist,1899,74
11034,Czech Republic,artist,1935,72
11035,Belgium,theater director,1957,41
11036,Israel,artist,1941,70
11037,United States,artist,1931,80
11038,Italy,artist,1954,63
11039,Canada,artist,1954,63
11040,Japan,samurai,1834,34
11041,United Kingdom,artist,1777,66
11042,Japan,politician,1570,42
11043,United States,serial killer,1892,46
11044,United Kingdom,athlete,1929,65
11045,France,artist,1923,68
11046,United Kingdom,artist,1915,96
11047,Suriname,artist,1911,52
11048,Netherlands,artist,1911,52
11049,Canada,politician,1860,60
11050,United States,athlete,1915,85
11051,United States,politician,1724,81
11052,Norway,businessperson,1981,32
11053,Japan,samurai,1823,41
11054,United States,artist,1890,37
11055,Nigeria,teacher,1954,60
11056,Netherlands,magician,1953,53
11057,Bolivia,artist,1929,55
11058,United States,artist,1924,74
11059,United States,politician,1894,31
11060,Australia,athlete,1972,35
11061,United States,artist,1923,90
11062,France,artist,1914,82
11063,United States,artist,1907,70
11064,United States,artist,1947,43
11065,Netherlands,athlete,1968,35
11066,United States,businessperson,1884,62
11067,United States,politician,1873,62
11068,United States,artist,1928,40
11069,United States,entrepreneur,1878,42
11070,United Kingdom,researcher,1941,77
11071,United States,artist,1961,21
11072,Uruguay,politician,1925,64
11073,United States,artist,1872,80
11074,United States,judge,1898,63
11075,Turkey,artist,1929,50
11076,Switzerland,athlete,1938,74
11077,Germany,athlete,1938,74
11078,United States,politician,1858,49
11079,United States,athlete,1976,35
11080,Australia,artist,1945,49
11081,Japan,military personnel,1885,59
11082,Sweden,religious figure,1948,68
11083,United States,artist,1963,42
11084,France,artist,1925,36
11085,Algeria,artist,1925,36
11086,United States,athlete,1950,54
11087,Germany,artist,1881,52
11088,Italy,artist,1932,80
11089,United States,psychiatrist,1922,87
11089,United States,child psychiatrist,1922,87
11090,United States,journalist,1928,79
11091,United Kingdom,politician,1939,78
11092,United Kingdom,artist,1888,52
11093,United States,artist,1955,52
11094,Haiti,businessperson,1950,51
11095,United States,military personnel,1921,76
11096,Ireland,artist,1942,69
11097,Sweden,athlete,1980,31
11098,Poland,athlete,1980,31
11099,United States,artist,1931,69
11100,Canada,professional wrestler,1931,78
11101,United States,politician,1865,58
11102,United States,test pilot,1918,30
11103,Germany,artist,1930,47
11104,Switzerland,athlete,1944,66
11105,United Kingdom,politician,1656,55
11106,United States,student,2002,16
11106,United States,cadet,2002,16
11107,United States,military personnel,1881,47
11108,Denmark,politician,1940,61
11109,United States,artist,1897,78
11110,Malta,artist,1897,78
11111,United States,socialite,1834,49
11112,United Kingdom,artist,1930,77
11113,United States,artist,1911,87
11114,Uruguay,politician,1920,78
11115,France,artist,1965,40
11116,Italy,artist,1966,47
11117,United States,trade unionist,1940,69
11118,United States,politician,1919,69
11119,United States,athlete,1923,81
11120,Italy,artist,1899,82
11121,Russian Federation,military personnel,1947,61
11122,Russian Federation,military personnel,1947,61
11123,United Kingdom,athlete,1912,68
11124,Yemen,warrior,1960,59
11125,Austria,artist,1897,61
11126,United States,artist,1883,73
11127,United States,military personnel,1842,72
11128,United States,politician,1949,61
11129,Belgium,athlete,1956,37
11130,Canada,politician,1904,82
11131,United States,artist,1911,38
11132,United States,artist,1994,22
11133,France,researcher,1523,73
11134,Switzerland,entrepreneur,1924,89
11135,Germany,entrepreneur,1924,89
11136,Switzerland,athlete,1993,21
11137,France,explorer,1744,43
11138,United Kingdom,artist,1907,74
11139,United States,researcher,1917,93
11140,India,athlete,1962,26
11141,United States,politician,1913,93
